,年份,钢材进口量(万吨),铜及铜合金进口量(万吨),铝及铝合金进口量(万吨),肥料进口量(万吨),纸浆进口量(万吨),纺织用合成纤维进口量(万吨),水泥出口量(万吨),平板玻璃出口量(万平方米),钢材出口量(万吨),铜材出口量(吨),铝材出口量(吨),锌及锌合金出口量(吨),纸及纸板出口量(万吨)
0,2017,1330,,,918,2372,40,1286,21032,7541,477989,4240000,,652
1,2016,1322,,,832,2107,32,1785,22661,10853,452313,4070000,,683
2,2015,1278,425.0,22.0,1116,1984,34,1575,21460,11240,466077,4195160,96683.0,593
3,2014,1443,422.0,35.0,959,1796,34,1391,21896,9378,507858,3668648,132719.0,630
4,2013,1408,389.0,48.0,793,1685,38,1454,19506,6233,488978,3070000,5395.0,565
5,2012,1366,398.0,64.0,843,1646,33,1200,17632,5573,492980,2830000,7937.0,471
6,2011,1558,329.0,33.0,795,1445,35,1061,18726,4888,500347,3000000,48369.0,450
7,2010,1643,338.0,36.0,718,1137,37,1616,17398,4256,508580,2180000,43395.0,380
8,2009,1763,347.0,174.0,411,1368,35,1561,16643,2460,455136,1390000,29287.0,362
9,2008,1543,170.0,26.0,622,952,32,2604,27762,5923,517522,1900000,71320.0,361
10,2007,1687,173.0,28.0,1169,847,51,3301,30917,6265,499678,1853413,276714.0,422
11,2006,1851,97.0,51.0,1129,796,62,3613,26433,4301,559122,1240157,341465.0,305
12,2005,2582,142.0,64.0,1397,759,84,2216,19925,2052,463560,711484,146845.0,167
13,2004,2930,138.0,103.0,1240,732,99,704,14464,1423,390023,430988,263149.0,101
14,2003,3717,156.0,88.0,1213,603,106,533,12427,696,232879,273874,484231.0,114
15,2002,2449,133.0,58.0,1682,526,104,518,11359,545,171710,188744,495987.0,74
16,2001,1722,95.0,53.0,1092,490,92,621,6123,474,123790,135630,562021.0,68
17,2000,1596,81.0,91.0,1189,335,100,605,5592,621,144484,130052,593336.0,65
